ID,Candidate State,Age Range,Sex,Protected category,Study area,Study Title,Years Experience,Sector,Year of insertion,Year of Recruitment,Assumption Headquarters,Job Family Hiring,Job Title Hiring,Years Experience.1,Minimum Ral,Ral Maximum,Study Level,Study Area.1,Akkodis headquarters,Current Ral,Expected Ral,City,Province,Region
25549,Imported,20 - 25 years,Male,,Information Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,VOLPIANO,Turin,Piedmont
25550,First contact,> 45 years,Male,,Mechanical engineering,Five-year degree,[+10],Consulting,2022,,,,,,,,,,,,,CASSINO,Frosinone,Lazio
25556,Imported,20 - 25 years,Male,,computer engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,FERRARA,Ferrara,Emilia Romagna
25560,First contact,20 - 25 years,Female,,Chemist - Pharmaceutical,Five-year degree,[0],Life sciences,2023,,,,,,,,,,,Not available,Not available,CREAM,Cremona,Lombardy
25562,In selection,< 20 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[+10],Space,2023,,,,,,,,,,,,,CHIETI,Chieti,Abruzzo
25564,First contact,26 - 30 years,Female,,Other scientific subjects,Five-year degree,[0],Others,2022,,,,,,,,,,,,,ROBBIO,Pavia,Lombardy
25570,First contact,26 - 30 years,Male,,computer engineering,Five-year degree,[0],Others,2023,,,,,,,,,,,Not available,Not available,NOSSA BRIDGE,Bergamo,Lombardy
25578,Imported,20 - 25 years,Male,,Mechanical engineering,Three-year degree,[0-1],,2021,,,,,,,,,,,,,CAPURSO,Bari,Puglia
25598,First contact,26 - 30 years,Male,,computer engineering,Five-year degree,[0],Others,2023,,,,,,,,,,,,,ALBANO LAZIALE,Rome,Lazio
25608,Imported,26 - 30 years,Male,,electronic Engineering,Five-year degree,[0],,2023,,,,,,,,,,,,,SANNICOLA,Lecce,Puglia
25610,In selection,26 - 30 years,Male,,Automotive Engineering,Three-year degree,[0],Automotive,2022,,,,,,,,,,,,,BAGNO A RIPOLI,Florence,Tuscany
25612,Imported,20 - 25 years,Female,,Biomedical Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,SANTERAMO IN COLLE,Bari,Puglia
25616,Imported,26 - 30 years,Male,,Energy and Nuclear Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,LATERZA,Taranto,Puglia
25644,Imported,26 - 30 years,Female,,Biomedical Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,BERNALDA,Matera,Basilicata
25645,Hired,26 - 30 years,Male,,Automation/Mechatronics Engineering,Five-year degree,[0],Automotive,2022,2022,Modena,Engineering,Junior Consultant,[0-1],,24-26K,Five-year degree,Automotive Engineering,Modena,,,BARI,Bari,Puglia
25653,First contact,< 20 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[5-7],Others,2022,,,,,,,,,,,,,ROME,Rome,Lazio
25654,Imported,20 - 25 years,Female,,Other,Three-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
25685,Imported,26 - 30 years,Female,,Other,Five-year degree,[0],,2022,,,,,,,,,,,,,CHIVASSO,Turin,Piedmont
25686,Imported,36 - 40 years,Male,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
25688,Imported,26 - 30 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,RUSSIANS,Ravenna,Emilia Romagna
25699,Hired,< 20 years,Male,,Psychology,Five-year degree,[3-5],Others,2022,2022,Vicenza,Support,Support,[0],,,Three-year degree,Other humanities subjects,Vicenza,,,PALERMO,Palermo,Sicily
25700,Imported,20 - 25 years,Male,,Other,Three-year degree,[0],,2021,,,,,,,,,,,,,GENOA,Genoa,Liguria
25711,First contact,31 - 35 years,Male,,Other scientific subjects,Three-year degree,[7-10],Others,2023,,,,,,,,,,,,,CREAM,Cremona,Lombardy
25723,Imported,26 - 30 years,Male,,electronic Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,BRINDISI,Brindisi,Puglia
25724,First contact,36 - 40 years,Male,,Mechanical engineering,Five-year degree,[7-10],Machining - Heavy Industry,2022,,,,,,,,,,,,,TORRE ANNUNZIATA,Naples,Campania
25725,First contact,31 - 35 years,Male,,Telecommunications Engineering,Five-year degree,[0-1],Telecom,2021,,,,,,,,,,,,,ABBIATEGRASSO,Milan,Lombardy
25738,Imported,20 - 25 years,Female,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,GRUGLIASCO,Turin,Piedmont
25756,Imported,20 - 25 years,Male,,industrial engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,PECETTO TORINESE,Turin,Piedmont
25758,In selection,26 - 30 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TORREMAGGIORE,Foggia,Puglia
25771,First contact,26 - 30 years,Male,,computer engineering,Five-year degree,[0],Others,2022,,,,,,,,,,,,,SANTERAMO IN COLLE,Bari,Puglia
25772,Imported,26 - 30 years,Male,,computer engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,BRANDIZZO,Turin,Piedmont
25780,In selection,< 20 years,Male,,electronic Engineering,Three-year degree,[1-3],Others,2022,,,,,,,,,,,Not available,Not available,ROME,Rome,Lazio
25799,First contact,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[3-5],Aeronautics,2019,,,,,,,,,,,Not available,Not available,GRUMO APPULA,Bari,Puglia
25819,Imported,26 - 30 years,Male,,Management Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
25829,First contact,> 45 years,Male,Article 1,Humanistic high school diploma,High school graduation,[+10],Others,2023,,,,,,,,,,,,,ROME,Rome,Lazio
25830,In selection,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,Not available,GRAVINA IN PUGLIA,Bari,Puglia
25839,In selection,< 20 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[7-10],Automotive,2023,,,,,,,,,,,Not available,Not available,TURIN,Turin,Piedmont
25847,Imported,26 - 30 years,Male,,Electrical Engineering,Three-year degree,[0],,2023,,,,,,,,,,,,,TURIN,Turin,Piedmont
25849,Imported,26 - 30 years,Female,,chemical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
25855,Imported,26 - 30 years,Male,,Management Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,CASALE CORTE CERRO,Verbania,Piedmont
25856,Imported,26 - 30 years,Male,,Mechanical engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
