ID,Candidate State,Age Range,Sex,Protected category,Study area,Study Title,Years Experience,Sector,Year of insertion,Year of Recruitment,Assumption Headquarters,Job Family Hiring,Job Title Hiring,Years Experience.1,Minimum Ral,Ral Maximum,Study Level,Study Area.1,Akkodis headquarters,Current Ral,Expected Ral,City,Province,Region
41786,Imported,20 - 25 years,Male,,industrial engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,TRECATE,Novara,Piedmont
41787,Imported,20 - 25 years,Male,,Biomedical Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,FASANO,Brindisi,Puglia
41794,Imported,31 - 35 years,Male,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,SORSO,Sassari,Sardinia
41802,Hired,< 20 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0-1],Others,2021,2021,Udine,Engineering,Consultant,[1-3],26-28K,32-34K,Five-year degree,Aeronautical/Aerospace/Astronautics Engineering,Udine,22-24 K,24-26 K,GAMBARA,Brescia,Lombardy
41807,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,MONCALIERI,Turin,Piedmont
41817,Imported,20 - 25 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,MESSINA,Messina,Sicily
41819,Imported,26 - 30 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,AVELLINO,Avellino,Campania
41820,First contact,26 - 30 years,Male,,Management Engineering,Five-year degree,[0],Others,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
41822,Imported,26 - 30 years,Male,,computer engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,AREZZO,Arezzo,Tuscany
41825,In selection,> 45 years,Male,,Surveyor,High school graduation,[+10],Oil and Gas,2023,,,,,,,,,,,Not available,Not available,CERNUSCO SUL NAVIGLIO,Milan,Lombardy
41827,Imported,20 - 25 years,Male,,Biomedical Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,COVERAGE,Lecce,Puglia
41838,In selection,31 - 35 years,Female,,Biomedical Engineering,Five-year degree,[0],Others,2022,,,,,,,,,,,,,GENOA,Genoa,Liguria
41840,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,BARI,Bari,Puglia
41857,Imported,20 - 25 years,Male,,industrial engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
41873,First contact,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],Others,2022,,,,,,,,,,,,,ARCE,Frosinone,Lazio
41878,First contact,26 - 30 years,Male,,computer engineering,Five-year degree,[0],Others,2022,,,,,,,,,,,,,AZZANO DECIMO,Pordenone,Friuli Venezia Giulia
41882,First contact,26 - 30 years,Male,,chemical engineering,Five-year degree,[0],Others,2023,,,,,,,,,,,,,ROME,Rome,Lazio
41884,Imported,26 - 30 years,Male,,Energy and Nuclear Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,RIVALTA DI TURIN,Turin,Piedmont
41890,Imported,20 - 25 years,Female,,industrial engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
41898,First contact,< 20 years,Female,,Literary,Three-year degree,[0],Others,2023,,,,,,,,,,,Not available,Not available,MONSUMMANO TERME,Pistoia,Tuscany
41899,Imported,26 - 30 years,Male,,electronic Engineering,Three-year degree,[0-1],,2021,,,,,,,,,,,,,ALTAMURA,Bari,Puglia
41902,Imported,26 - 30 years,Female,,Mechanical engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,SAMMICHELE DI BARI,Bari,Puglia
41908,Imported,20 - 25 years,Male,,industrial engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,SASSARI,Sassari,Sardinia
41909,Imported,26 - 30 years,Female,,computer engineering,Five-year degree,[0],,2023,,,,,,,,,,,,,BANKS,Turin,Piedmont
41915,First contact,36 - 40 years,Female,,Chemist - Pharmaceutical,master's degree,[+10],Others,2022,,,,,,,,,,,,,ABBADIA SAN SALVATORE,Siena,Tuscany
41916,Imported,20 - 25 years,Female,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,SERRAVALLE SCRIVIA,Alessandria,Piedmont
41923,First contact,< 20 years,Male,,computer engineering,Five-year degree,[+10],Others,2021,,,,,,,,,,,,,LIGURIAN CELLS,Savona,Liguria
41928,In selection,26 - 30 years,Male,,computer engineering,Five-year degree,[0],Others,2021,,,,,,,,,,,,,ACQUI TERME,Alessandria,Piedmont
41933,Imported,26 - 30 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
41937,Imported,20 - 25 years,Female,,Biomedical Engineering,Five-year degree,[0],,2023,,,,,,,,,,,,,ROBASSOMERO,Turin,Piedmont
41941,First contact,26 - 30 years,Male,,Other,Five-year degree,[3-5],Others,2023,,,,,,,,,,,Not available,Not available,RAVENNA,Ravenna,Emilia Romagna
41944,Imported,20 - 25 years,Female,,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,SINK,Potenza,Basilicata
41954,Imported,26 - 30 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,PEACE,Trapani,Sicily
41957,Imported,31 - 35 years,Female,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,MATERA,Matera,Basilicata
41973,Imported,26 - 30 years,Female,,Energy and Nuclear Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,BRINDISI,Brindisi,Puglia
41978,Imported,20 - 25 years,Male,,computer engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,BARI,Bari,Puglia
41979,Imported,26 - 30 years,Male,,Management Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,MATHI,Turin,Piedmont
41982,QM,20 - 25 years,Male,,Electrical Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,BUSCA,Cuneo,Piedmont
41993,Imported,20 - 25 years,Male,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
41998,Imported,20 - 25 years,Male,,Information Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,FRANCAVILLA FONTANA,Brindisi,Puglia
41999,First contact,31 - 35 years,Male,,Mechanical engineering,Five-year degree,[0-1],Others,2022,,,,,,,,,,,,,BRINDISI,Brindisi,Puglia
42007,Imported,26 - 30 years,Male,,Energy and Nuclear Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,ANGRI,Salerno,Campania
42012,In selection,26 - 30 years,Male,,Biomedical Engineering,Five-year degree,[1-3],Life sciences,2021,,,,,,,,,,,Not available,Not available,MILAN,Milan,Lombardy
42013,Imported,26 - 30 years,Female,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
42020,Imported,31 - 35 years,Male,,computer engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,MUSSOMELI,Caltanissetta,Sicily
42030,Imported,20 - 25 years,Male,,computer engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,TRIGGIANO,Bari,Puglia
42050,First contact,20 - 25 years,Female,,Information Engineering,Three-year degree,[0],Others,2022,,,,,,,,,,,,,MINERVINO MURGE,Barletta-Andria-Trani,Puglia
42062,First contact,26 - 30 years,Male,,Informatics,Five-year degree,[0],Consulting,2022,,,,,,,,,,,,,PADERNO DUGNANO,Milan,Lombardy
42079,Imported,26 - 30 years,Male,,Information Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,BORGIO VEREZZI,Savona,Liguria
42085,Imported,20 - 25 years,Female,,Other,Three-year degree,[0],,2023,,,,,,,,,,,,,RIVALTA DI TURIN,Turin,Piedmont
42090,In selection,26 - 30 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],Space,2022,,,,,,,,,,,,Not available,PUTIGNANO,Bari,Puglia
42108,Imported,20 - 25 years,Female,,Biomedical Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
42112,First contact,26 - 30 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],,2019,,,,,,,,,,,,,,,
42114,Vivier,26 - 30 years,Male,,electronic Engineering,Five-year degree,[3-5],Others,2020,,,,,,,,,,,,26-28 K,TRAPANI,Trapani,Sicily
42121,Imported,26 - 30 years,Male,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
42130,Imported,31 - 35 years,Female,,Mechanical engineering,Five-year degree,[0-1],,2021,,,,,,,,,,,,,BARI,Bari,Puglia
42141,First contact,26 - 30 years,Male,,Informatics,Five-year degree,[0],Others,2023,,,,,,,,,,,Not available,Not available,NAPLES,Naples,Campania
42147,Imported,20 - 25 years,Male,,computer engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,BARI,Bari,Puglia
42149,Imported,26 - 30 years,Female,,Management Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,CARAPELLE,Foggia,Puglia
42150,Imported,26 - 30 years,Male,,computer engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,SALERNO,Salerno,Campania
42154,Hired,26 - 30 years,Female,,Other humanities subjects,master's degree,[0],Others,2022,2022,Rome,Support,Support,[0],,,Three-year degree,Other humanities subjects,Rome,,,ROME,Rome,Lazio
42158,Imported,26 - 30 years,Male,,Mathematical-physical modeling for engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,PALMA CAMPANIA,Naples,Campania
42165,QM,> 45 years,Male,,Other,Professional qualification,[+10],Oil and Gas,2019,,,,,,,,,,,,,AVETRANA,Taranto,Puglia
42169,First contact,< 20 years,Male,,electronic Engineering,Five-year degree,[1-3],Others,2021,,,,,,,,,,,,,ROME,Rome,Lazio
42175,First contact,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0-1],Automotive,2022,,,,,,,,,,,,,BOLOGNA,Bologna,Emilia Romagna
42176,Imported,26 - 30 years,Male,,Information Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,STEFANACONI,Vibo-Valentia,Calabria
42181,Imported,20 - 25 years,Male,,Energy and Nuclear Engineering,Three-year degree,[0],,2023,,,,,,,,,,,,,TURIN,Turin,Piedmont
42183,Imported,26 - 30 years,Male,,Information Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,PONDERANO,Biella,Piedmont
42186,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,RIVALTA BORMIDA,Alessandria,Piedmont
42210,Imported,26 - 30 years,Male,,Telecommunications Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
42220,First contact,26 - 30 years,Male,,computer engineering,Five-year degree,[1-3],Others,2021,,,,,,,,,,,,,SAN QUIRINO,Pordenone,Friuli Venezia Giulia
42236,First contact,> 45 years,Male,,Automation/Mechatronics Engineering,Five-year degree,[+10],Oil and Gas,2019,,,,,,,,,,,,,AFFORI,Milan,Lombardy
42241,Imported,26 - 30 years,Male,,computer engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,MANDURIA,Taranto,Puglia
42242,Imported,20 - 25 years,Female,,industrial engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,FUNDS,Latina,Lazio
42251,First contact,> 45 years,Male,,Other,Professional qualification,[+10],Oil and Gas,2021,,,,,,,,,,,,,ROMANIA,(STATE),(OVERSEAS)
42253,First contact,26 - 30 years,Male,,Mechanical engineering,Three-year degree,[0],Automotive,2023,,,,,,,,,,,,,MODENA,Modena,Emilia Romagna
42256,Imported,20 - 25 years,Female,,chemical engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,QUILIANO,Savona,Liguria
42257,In selection,36 - 40 years,Male,,Mechanical engineering,Three-year degree,[+10],Oil and Gas,2021,,,,,,,,,,,,,MEXICO,(STATE),(OVERSEAS)
42263,First contact,< 20 years,Male,,Other,High school graduation,[+10],Services and Information Systems,2022,,,,,,,,,,,,,IVREA,Turin,Piedmont
42271,Imported,31 - 35 years,Male,,electronic Engineering,Five-year degree,[0-1],Others,2021,,,,,,,,,,,,,MARTINA FRANCA,Taranto,Puglia
42272,Imported,36 - 40 years,Female,,Management Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
42275,Imported,20 - 25 years,Male,,computer engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,BARI,Bari,Puglia
42286,Imported,20 - 25 years,Male,,Electrical Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,ALBISOLA SUPERIORE,Savona,Liguria
42296,Imported,31 - 35 years,Female,,Energy and Nuclear Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
42317,QM,26 - 30 years,Male,,computer engineering,Three-year degree,[7-10],Services and Information Systems,2019,,,,,,,,,,,,,CASORIA,Naples,Campania
42326,Imported,26 - 30 years,Male,,Management Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
42331,Imported,26 - 30 years,Male,,electronic Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
42334,Imported,20 - 25 years,Male,,industrial engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,ALGHERO,Sassari,Sardinia
42337,Imported,20 - 25 years,Male,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,BIELLA,Biella,Piedmont
42338,Imported,20 - 25 years,Male,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,COLLEGNO,Turin,Piedmont
42347,Imported,20 - 25 years,Male,,Mechanical engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,RUTIGLIANO,Bari,Puglia
42352,In selection,> 45 years,Male,,Other scientific subjects,master's degree,[5-7],Services and Information Systems,2021,,,,,,,,,,,,,FORTRESS,Bolzano,Trentino Alto Adige
42353,Imported,26 - 30 years,Male,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,OZEGNA,Turin,Piedmont
42356,First contact,< 20 years,Female,,Biomedical Engineering,Five-year degree,[0],Life sciences,2022,,,,,,,,,,,,,PORTOGRUARO,Venice,Veneto
42357,Imported,26 - 30 years,Male,,computer engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,PALAZZO SAN GEVASIO,Potenza,Basilicata
42371,Imported,20 - 25 years,Male,,computer engineering,Five-year degree,[0],,2023,,,,,,,,,,,,,AVELLINO,Avellino,Campania
42385,Imported,26 - 30 years,Male,,Information Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,SAN MAURO TORINESE,Turin,Piedmont
42390,First contact,26 - 30 years,Male,,electronic Engineering,Five-year degree,[1-3],Consulting,2022,,,,,,,,,,,,,MILAN,Milan,Lombardy
42391,Imported,31 - 35 years,Male,,Automation/Mechatronics Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
42396,Imported,26 - 30 years,Female,,Biomedical Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,CORATO,Bari,Puglia
42397,In selection,26 - 30 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],Others,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
42401,Hired,< 20 years,Male,,Mechanical engineering,Five-year degree,[3-5],Automotive,2023,2023,Turin,Tech Consulting & Solutions,Consultant,[0-1],,24-26K,Five-year degree,Management Engineering,Turin,,,FORMIA,Latina,Lazio
42407,Imported,26 - 30 years,Female,,Mechanical engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
42409,Imported,20 - 25 years,Female,,Mechanical engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,RIETI,Rieti,Lazio
42413,First contact,26 - 30 years,Male,,Other,Five-year degree,[0],Others,2022,,,,,,,,,,,,,TRESCORE BALNEARIO,Bergamo,Lombardy
42414,First contact,26 - 30 years,Male,,computer engineering,Five-year degree,[3-5],Others,2023,,,,,,,,,,,,,GIARRE,Catania,Sicily
42417,First contact,< 20 years,Male,,electronic Engineering,Five-year degree,[+10],Others,2021,,,,,,,,,,,,,BRESSO,Milan,Lombardy
42419,Imported,20 - 25 years,Female,,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,FAVARO VENETO,Venice,Veneto
42423,First contact,26 - 30 years,Male,,Electrical Engineering,Five-year degree,[0],Others,2021,,,,,,,,,,,,,PORTO EMPEDOCLE,Agrigento,Sicily
42426,Imported,31 - 35 years,Male,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TALMASSONS,Udine,Friuli Venezia Giulia
42428,First contact,20 - 25 years,Male,,Management Engineering,Five-year degree,[3-5],Others,2023,,,,,,,,,,,Not available,Not available,BRINDISI,Brindisi,Puglia
42430,Imported,20 - 25 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,MONCALIERI,Turin,Piedmont
42440,Imported,20 - 25 years,Male,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,NURAXINIEDDU,Cagliari,Sardinia
42463,In selection,20 - 25 years,Male,,Informatics,Five-year degree,[0],Others,2023,,,,,,,,,,,,,AVELLINO,Avellino,Campania
42470,First contact,> 45 years,Male,,construction Engineering,Three-year degree,[+10],Oil and Gas,2021,,,,,,,,,,,,,ROMANIA,(STATE),(OVERSEAS)
42478,In selection,26 - 30 years,Male,,Automotive Engineering,Five-year degree,[0],,2020,,,,,,,,,,,,,TURIN,Turin,Piedmont
42479,Imported,20 - 25 years,Male,,electronic Engineering,Three-year degree,[0],,2023,,,,,,,,,,,,,PINEROLO,Turin,Piedmont
42487,In selection,26 - 30 years,Male,,Mechanical engineering,Three-year degree,[1-3],Automotive,2023,,,,,,,,,,,,,ALTAMURA,Bari,Puglia
42489,First contact,36 - 40 years,Male,,Other scientific subjects,High school graduation,[+10],Oil and Gas,2021,,,,,,,,,,,,,TREVIGLIO,Bergamo,Lombardy
42490,In selection,26 - 30 years,Male,,Energy and Nuclear Engineering,Five-year degree,[3-5],Railway,2018,,,,,,,,,,,32-34 K,,NOVAFELTRIA,Rimini,Emilia Romagna
42496,First contact,20 - 25 years,Male,,Biomedical Engineering,Five-year degree,[0],Telecom,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
42497,First contact,26 - 30 years,Male,,Information Engineering,Three-year degree,[3-5],Others,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
42498,Imported,26 - 30 years,Female,,Mechanical engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,TOUR,Bari,Puglia
42500,Imported,26 - 30 years,Female,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,BARI,Bari,Puglia
42503,Imported,26 - 30 years,Female,,Biomedical Engineering,Five-year degree,[0],,2023,,,,,,,,,,,,,ASSEMINI,Cagliari,Sardinia
42508,Imported,20 - 25 years,Male,,Information Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,SALICE SALENTINO,Lecce,Puglia
42510,Imported,36 - 40 years,Male,,Electrical Engineering,Doctorate,[0],,2023,,,,,,,,,,,,,TURIN,Turin,Piedmont
42513,Imported,31 - 35 years,Female,,Information Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
42521,Hired,< 20 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],Others,2022,2022,Milan,Engineering,Junior Consultant,[0],,,Five-year degree,Mechanical engineering,Milan,,,COMO,Como,Lombardy
42530,Imported,26 - 30 years,Male,,computer engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,GRIGNASCO,Novara,Piedmont
42538,Imported,31 - 35 years,Male,,computer engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,ALATRI,Frosinone,Lazio
42543,First contact,26 - 30 years,Male,,computer engineering,Five-year degree,[0],Others,2023,,,,,,,,,,,,,LATINA,Latina,Lazio
42552,Imported,26 - 30 years,Male,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,CAMPOBASSO,Campobasso,Molise
42556,Imported,26 - 30 years,Male,,Information Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,PAVONE CANAVESE,Turin,Piedmont
42568,Imported,26 - 30 years,Female,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
42573,Imported,26 - 30 years,Female,,Biomedical Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,CERRO TANARO,Asti,Piedmont
42580,Imported,20 - 25 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,BIELLA,Biella,Piedmont
42591,First contact,20 - 25 years,Female,,Management Engineering,Three-year degree,[0],Others,2022,,,,,,,,,,,,,YIELD,Cosenza,Calabria
42598,Hired,26 - 30 years,Female,,Biomedical Engineering,Five-year degree,[0],Others,2022,2022,Pomezia,Engineering,Junior Consultant,[0],- 20K,- 20K,Five-year degree,Chemist - Pharmaceutical,Pomezia,,,ROME,Rome,Lazio
42600,Imported,20 - 25 years,Male,,computer engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,BARI,Bari,Puglia
42602,First contact,< 20 years,Female,,Other humanities subjects,Five-year degree,[0],Others,2022,,,,,,,,,,,,,MASSAFRA,Taranto,Puglia
42608,Imported,20 - 25 years,Female,,Mechanical engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,BARI,Bari,Puglia
42611,Imported,26 - 30 years,Male,,computer engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,SALERNO,Salerno,Campania
42616,First contact,26 - 30 years,Male,,Civil/Civil and Environmental Engineering,Five-year degree,[0],Others,2022,,,,,,,,,,,,,ROMANO DI LOMBARDIA,Bergamo,Lombardy
42621,First contact,26 - 30 years,Male,,computer engineering,Five-year degree,[3-5],Others,2022,,,,,,,,,,,,,SAN GEVASIO TRUSSES,Bergamo,Lombardy
42627,In selection,36 - 40 years,Female,,Legal,Five-year degree,[7-10],Others,2023,,,,,,,,,,,26-28 K,Not available,FLORENCE,Florence,Tuscany
42628,Imported,20 - 25 years,Male,,electronic Engineering,Five-year degree,[0],,2023,,,,,,,,,,,,,WALNUTS,Bari,Puglia
42631,Imported,26 - 30 years,Male,,Mechanical engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,CIRIE',Turin,Piedmont
42632,Imported,26 - 30 years,Male,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
42653,Imported,26 - 30 years,Male,,Energy and Nuclear Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,OCCHIEPPO SUPERIORE,Biella,Piedmont
42654,Imported,26 - 30 years,Male,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,TERAMO,Teramo,Abruzzo
42656,First contact,< 20 years,Male,,computer engineering,Three-year degree,[1-3],Others,2023,,,,,,,,,,,30-32 K,32-34 K,L'AQUILA,L'Aquila,Abruzzo
42668,Imported,26 - 30 years,Female,,Telecommunications Engineering,Five-year degree,[0-1],,2021,,,,,,,,,,,,,LATERZA,Taranto,Puglia
42671,Imported,26 - 30 years,Male,,industrial engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,LANCIANO,Chieti,Abruzzo
42672,First contact,< 20 years,Male,,Automotive Engineering,Five-year degree,[0],Automotive,2023,,,,,,,,,,,,,BARI,Bari,Puglia
42673,Imported,31 - 35 years,Male,,computer engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
42680,Imported,26 - 30 years,Male,,Biomedical Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,ANDRIA,Barletta-Andria-Trani,Puglia
42697,First contact,26 - 30 years,Male,,Informatics,High school graduation,[1-3],Consulting,2023,,,,,,,,,,,24-26 K,Not available,LECCE,Lecce,Puglia
42726,QM,< 20 years,Male,,Automation/Mechatronics Engineering,Three-year degree,[0],Others,2023,,,,,,,,,,,,,VARESE,Varese,Lombardy
42748,Imported,20 - 25 years,Male,,computer engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,CEGLIE MESSAPICA,Brindisi,Puglia
42757,Imported,26 - 30 years,Female,,Biomedical Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,PACHINO,Syracuse,Sicily
42768,Imported,26 - 30 years,Male,,Biomedical Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
42769,Imported,26 - 30 years,Male,,Energy and Nuclear Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,PONTASSIEVE,Florence,Tuscany
42774,Imported,20 - 25 years,Male,,Information Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,CALTAGIRONE,Catania,Sicily
42782,In selection,20 - 25 years,Female,,Biomedical Engineering,Five-year degree,[1-3],Life sciences,2021,,,,,,,,,,,Not available,Not available,TURIN,Turin,Piedmont
42784,First contact,26 - 30 years,Male,,Energy and Nuclear Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,SETTIMO TORINESE,Turin,Piedmont
42795,First contact,20 - 25 years,Male,,industrial engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
42813,In selection,< 20 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],Space,2022,,,,,,,,,,,,26-28 K,COSENZA,Cosenza,Calabria
42823,Imported,26 - 30 years,Male,,Telecommunications Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,CAVAGNOLO,Turin,Piedmont
42833,First contact,31 - 35 years,Male,,Mechanical engineering,Three-year degree,[1-3],Oil and Gas,2021,,,,,,,,,,,30-32 K,,ADRO,Brescia,Lombardy
42840,In selection,36 - 40 years,Female,,Management Engineering,Five-year degree,[+10],Space,2023,,,,,,,,,,,,,CONVERSANO,Bari,Puglia
42843,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,LUGNACCO,Turin,Piedmont
42850,First contact,40 - 45 years,Male,,Other,High school graduation,[+10],Services and Information Systems,2021,,,,,,,,,,,,,ANZIO,Rome,Lazio
42853,First contact,26 - 30 years,Male,,computer engineering,Five-year degree,[0-1],Others,2021,,,,,,,,,,,,,MONTESARCHIO,Benevento,Campania
42856,First contact,26 - 30 years,Male,,Chemist - Pharmaceutical,Five-year degree,[1-3],Others,2022,,,,,,,,,,,,,BOLOGNA,Bologna,Emilia Romagna
42861,Imported,26 - 30 years,Female,,Automation/Mechatronics Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,GALLIPOLI,Lecce,Puglia
42868,Imported,26 - 30 years,Male,,Information Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,ASTI,Asti,Piedmont
42873,First contact,> 45 years,Male,,Other,Professional qualification,[+10],Energy,2021,,,,,,,,,,,,,ASOLO,Treviso,Veneto
42884,Imported,26 - 30 years,Male,,Mechanical engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
42885,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
42894,Imported,26 - 30 years,Female,,Biomedical Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,SWEATERS,Lecce,Puglia
42902,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,BARI,Bari,Puglia
42912,Imported,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TARANTO,Taranto,Puglia
42913,First contact,31 - 35 years,Male,,Other scientific subjects,Three-year degree,[3-5],Others,2023,,,,,,,,,,,Not available,Not available,NAPLES,Naples,Campania
